resume_index,job_index,tfidf_similarity,embedding_similarity,skill_overlap_count,skill_match_ratio,keyword_overlap,resume_word_count,job_word_count,readability_score,skill_density,resume_quality_score,score,label
1844,3,0.0,0.11389769613742828,0,0.0,0.375,421,8,29.501187648456053,0.0,0.7,0.034169308841228485,0
1844,4,0.0,0.09684820473194122,0,0.0,0.375,421,8,29.501187648456053,0.0,0.7,0.029054461419582366,0
1844,5,0.0,0.09656642377376556,0,0.0,0.375,421,8,29.501187648456053,0.0,0.7,0.028969927132129668,0
1845,0,0.0,0.19472309947013855,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.05841692984104156,1
1845,1,0.0,0.1580653190612793,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.047419595718383785,0
1845,2,0.0,0.14682351052761078,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.04404705315828323,0
1845,3,0.0,0.1738518327474594,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.05215554982423782,0
1845,4,0.0,0.14556270837783813,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.04366881251335144,0
1845,5,0.0,0.14565341174602509,0,0.0,0.25,285,8,27.05263157894737,0.0,0.7,0.043696023523807526,0
1846,0,0.0,0.13856209814548492,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.04156862944364548,0
1846,1,0.0,0.11591799557209015,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.034775398671627045,0
1846,2,0.0,0.10952937602996826,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.03285881280899048,0
1846,3,0.0,0.12566837668418884,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.037700513005256654,0
1846,4,0.0,0.10799995809793472,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.03239998742938042,0
1846,5,0.0,0.10692545771598816,0,0.0,0.5,399,8,27.64411027568923,0.0,0.7,0.032077637314796445,0
1847,0,0.0,0.13213327527046204,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.03963998258113861,0
1847,1,0.0,0.10356518626213074,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.03106955587863922,0
1847,2,0.0,0.09779977798461914,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.02933993339538574,0
1847,3,0.0,0.11619238555431366,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.034857715666294094,0
1847,4,0.0,0.09838373959064484,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.029515121877193448,0
1847,5,0.0,0.09655769169330597,0,0.0,0.25,229,8,26.986899563318772,0.0,0.7,0.02896730750799179,0
1848,0,0.0,0.0981665700674057,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.029449971020221708,0
1848,1,0.0,0.07769042998552322,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.023307128995656966,0
1848,2,0.0,0.0733579769730568,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.022007393091917037,0
1848,3,0.0,0.08518162369728088,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.025554487109184263,0
1848,4,0.0,0.06911258399486542,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.020733775198459623,0
1848,5,0.0,0.06975050270557404,0,0.0,0.25,284,8,25.845070422535215,0.0,0.7,0.02092515081167221,0
1849,0,0.016013605464496254,0.10791756212711334,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.04038207137038213,0
1849,1,0.016013605464496254,0.08471185714006424,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.0334203598742674,0
1849,2,0.016013605464496254,0.07938571274280548,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.031822516555089775,0
1849,3,0.016013605464496254,0.09463980048894882,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.03639874287893277,0
1849,4,0.016013605464496254,0.07345986366271973,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.030044761831064044,0
1849,5,0.016013605464496254,0.07498957216739655,0,0.0,0.375,236,8,27.7542372881356,0.0,0.7,0.03050367438246709,0
1850,0,0.0,0.19236795604228973,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.05771038681268692,1
1850,1,0.0,0.16823484003543854,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.05047045201063156,0
1850,2,0.0,0.16234354674816132,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.04870306402444839,0
1850,3,0.0,0.17696410417556763,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.05308923125267029,0
1850,4,0.0,0.14862702786922455,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.04458810836076736,0
1850,5,0.0,0.1529068648815155,0,0.0,0.25,70,8,35.85714285714286,0.0,0.5,0.04587205946445465,0
1851,0,0.0,0.12150238454341888,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.03645071536302567,0
1851,1,0.0,0.09714558720588684,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.029143676161766052,0
1851,2,0.0,0.09286870807409286,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.02786061242222786,0
1851,3,0.0,0.10755714029073715,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.032267142087221146,0
1851,4,0.0,0.09176575392484665,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.027529726177453993,0
1851,5,0.0,0.09124686568975449,0,0.0,0.25,183,8,28.1967213114754,0.0,0.5,0.027374059706926347,0
1852,0,0.0,0.09800238907337189,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.029400716722011565,0
1852,1,0.0,0.07323925197124481,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.021971775591373442,0
1852,2,0.0,0.06796073913574219,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.020388221740722655,0
1852,3,0.0,0.08449936658143997,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.02534980997443199,0
1852,4,0.0,0.06865454465150833,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.0205963633954525,0
1852,5,0.0,0.06793954968452454,0,0.0,0.25,463,8,25.399568034557234,0.0,0.7,0.02038186490535736,0
1853,0,0.011741392268101135,0.16714948415756226,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.05601554138131924,0
1853,1,0.011741392268101135,0.13830702006816864,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.04736280215450116,0
1853,2,0.011741392268101135,0.1331702172756195,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.04582176131673642,0
1853,3,0.011741392268101135,0.14894267916679382,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.05055349988408871,0
1853,4,0.011741392268101135,0.13215774297714233,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.04551801902719327,0
1853,5,0.011741392268101135,0.13258856534957886,0,0.0,0.5,422,8,27.582938388625593,0.0,0.7,0.04564726573892422,0
1854,0,0.0,0.12093481421470642,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.036280444264411925,0
1854,1,0.0,0.10222958028316498,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.03066887408494949,0
1854,2,0.0,0.09795567393302917,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.029386702179908752,0
1854,3,0.0,0.10947030037641525,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.032841090112924576,0
1854,4,0.0,0.09541106969118118,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.028623320907354352,0
1854,5,0.0,0.09487923979759216,0,0.0,0.25,478,8,26.422594142259413,0.0020920502092050207,0.7,0.028463771939277648,0
1855,0,0.011878229573329504,0.1035546287894249,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.037005503423492216,0
1855,1,0.011878229573329504,0.08026806265115738,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.030019533582011967,0
1855,2,0.011878229573329502,0.07674694806337357,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.028963199205676818,0
1855,3,0.011878229573329504,0.08909586817026138,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.032667875237743164,0
1855,4,0.011878229573329504,0.07242250442504883,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.0276658661141794,0
1855,5,0.011878229573329504,0.07375186681747437,0,0.0,0.625,339,8,35.13274336283186,0.0,0.7,0.028064674831907062,0
1856,0,0.0,0.11040835827589035,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.033122507482767106,0
1856,1,0.0,0.09352319687604904,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.02805695906281471,0
1856,2,0.0,0.09214168041944504,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.027642504125833512,0
1856,3,0.0,0.10178270936012268,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.030534812808036802,0
1856,4,0.0,0.09561064094305038,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.028683192282915115,0
1856,5,0.0,0.09274576604366302,0,0.0,0.375,359,8,26.96378830083566,0.0,0.7,0.027823729813098906,0
1857,0,0.0,0.09049375355243683,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.027148126065731047,0
1857,1,0.0,0.07726746052503586,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.023180238157510757,0
1857,2,0.0,0.07533630728721619,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.022600892186164855,0
1857,3,0.0,0.08314298093318939,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.02494289427995682,0
1857,4,0.0,0.07566563040018082,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.022699689120054243,0
1857,5,0.0,0.07427133619785309,0,0.0,0.375,347,8,31.786743515850148,0.0,0.7,0.022281400859355927,0
1858,0,0.0,0.15295422077178955,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.04588626623153686,0
1858,1,0.0,0.11125427484512329,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.033376282453536986,0
1858,2,0.0,0.097254179418087,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.0291762538254261,0
1858,3,0.0,0.12914426624774933,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.0387432798743248,0
1858,4,0.0,0.0835568755865097,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.02506706267595291,0
1858,5,0.0,0.08994748443365097,0,0.0,0.25,418,8,23.8755980861244,0.0,0.7,0.026984245330095292,0
